Generating simulation configurations...
Running 200 simulations...
Running configuration 139/200: Belt Length=17, Workers=12, Strategy='individual'
Running configuration 140/200: Belt Length=17, Workers=12, Strategy='team'
Running configuration 141/200: Belt Length=17, Workers=14, Strategy='individual'
Running configuration 142/200: Belt Length=17, Workers=14, Strategy='team'
Running configuration 143/200: Belt Length=17, Workers=16, Strategy='individual'
Running configuration 144/200: Belt Length=17, Workers=16, Strategy='team'
Running configuration 145/200: Belt Length=18, Workers=2, Strategy='individual'
Running configuration 146/200: Belt Length=18, Workers=2, Strategy='team'
Running configuration 147/200: Belt Length=18, Workers=4, Strategy='individual'
Running configuration 148/200: Belt Length=18, Workers=4, Strategy='team'
Running configuration 149/200: Belt Length=18, Workers=6, Strategy='individual'
Running configuration 150/200: Belt Length=18, Workers=6, Strategy='team'
Running configuration 151/200: Belt Length=18, Workers=8, Strategy='individual'
Running configuration 152/200: Belt Length=18, Workers=8, Strategy='team'
Running configuration 153/200: Belt Length=18, Workers=10, Strategy='individual'
Running configuration 154/200: Belt Length=18, Workers=10, Strategy='team'
Running configuration 155/200: Belt Length=18, Workers=12, Strategy='individual'
Running configuration 156/200: Belt Length=18, Workers=12, Strategy='team'
Running configuration 157/200: Belt Length=18, Workers=14, Strategy='individual'
Running configuration 158/200: Belt Length=18, Workers=14, Strategy='team'
Running configuration 159/200: Belt Length=18, Workers=16, Strategy='individual'
Running configuration 160/200: Belt Length=18, Workers=16, Strategy='team'
Running configuration 161/200: Belt Length=18, Workers=18, Strategy='individual'
Running configuration 162/200: Belt Length=18, Workers=18, Strategy='team'
Running configuration 163/200: Belt Length=19, Workers=2, Strategy='individual'
Running configuration 164/200: Belt Length=19, Workers=2, Strategy='team'
Running configuration 165/200: Belt Length=19, Workers=4, Strategy='individual'
Running configuration 166/200: Belt Length=19, Workers=4, Strategy='team'
Running configuration 167/200: Belt Length=19, Workers=6, Strategy='individual'
Running configuration 168/200: Belt Length=19, Workers=6, Strategy='team'
Running configuration 169/200: Belt Length=19, Workers=8, Strategy='individual'
Running configuration 170/200: Belt Length=19, Workers=8, Strategy='team'
Running configuration 171/200: Belt Length=19, Workers=10, Strategy='individual'
Running configuration 172/200: Belt Length=19, Workers=10, Strategy='team'
Running configuration 173/200: Belt Length=19, Workers=12, Strategy='individual'
Running configuration 174/200: Belt Length=19, Workers=12, Strategy='team'
Running configuration 175/200: Belt Length=19, Workers=14, Strategy='individual'
Running configuration 176/200: Belt Length=19, Workers=14, Strategy='team'
Running configuration 177/200: Belt Length=19, Workers=16, Strategy='individual'
Running configuration 178/200: Belt Length=19, Workers=16, Strategy='team'
Running configuration 179/200: Belt Length=19, Workers=18, Strategy='individual'
Running configuration 180/200: Belt Length=19, Workers=18, Strategy='team'
Running configuration 181/200: Belt Length=20, Workers=2, Strategy='individual'
Running configuration 182/200: Belt Length=20, Workers=2, Strategy='team'
Running configuration 183/200: Belt Length=20, Workers=4, Strategy='individual'
Running configuration 184/200: Belt Length=20, Workers=4, Strategy='team'
Running configuration 185/200: Belt Length=20, Workers=6, Strategy='individual'
Running configuration 186/200: Belt Length=20, Workers=6, Strategy='team'
Running configuration 187/200: Belt Length=20, Workers=8, Strategy='individual'
Running configuration 188/200: Belt Length=20, Workers=8, Strategy='team'
Running configuration 189/200: Belt Length=20, Workers=10, Strategy='individual'
Running configuration 190/200: Belt Length=20, Workers=10, Strategy='team'
Running configuration 191/200: Belt Length=20, Workers=12, Strategy='individual'
Running configuration 192/200: Belt Length=20, Workers=12, Strategy='team'
Running configuration 193/200: Belt Length=20, Workers=14, Strategy='individual'
Running configuration 194/200: Belt Length=20, Workers=14, Strategy='team'
Running configuration 195/200: Belt Length=20, Workers=16, Strategy='individual'
Running configuration 196/200: Belt Length=20, Workers=16, Strategy='team'
Running configuration 197/200: Belt Length=20, Workers=18, Strategy='individual'
Running configuration 198/200: Belt Length=20, Workers=18, Strategy='team'
Running configuration 199/200: Belt Length=20, Workers=20, Strategy='individual'
Running configuration 200/200: Belt Length=20, Workers=20, Strategy='team'

--- Simulation Report ---
Belt Length     Num Workers     Strategy        Velocity (Products)       Efficiency (Products/Worker)   Missed A   Missed B   Held A     Held B     Waste %
---------------------------------------------------------------------------------------------------------------------------------------------------------------
17              16              individual      322                       20.1250                        0          3          5          12         0.3%
16              10              individual      316                       31.6000                        0          9          4          5          0.9%
20              18              team            329                       18.2778                        4          7          5          7          1.1%
20              14              individual      333                       23.7857                        11         1          8          5          1.2%
16              16              individual      317                       19.8125                        12         0          3          12         1.2%
20              16              individual      312                       19.5000                        11         1          6          11         1.2%
18              14              individual      322                       23.0000                        5          9          6          5          1.4%
13              10              individual      313                       31.3000                        14         1          2          9          1.5%
19              16              individual      324                       20.2500                        15         0          16         3          1.5%
19              18              individual      313                       17.3889                        16         0          1          17         1.6%
14              12              individual      314                       26.1667                        3          14         8          3          1.7%
13              12              individual      312                       26.0000                        0          17         6          7          1.7%
17              14              individual      304                       21.7143                        0          17         7          4          1.7%
11              10              individual      321                       32.1000                        7          11         8          2          1.8%
10              10              individual      310                       31.0000                        4          16         2          6          2.0%
15              12              individual      309                       25.7500                        8          12         7          6          2.0%
16              16              team            320                       20.0000                        8          12         2          8          2.0%
19              16              team            319                       19.9375                        2          19         3          6          2.1%
18              18              individual      315                       17.5000                        0          21         3          17         2.1%
20              20              individual      311                       15.5500                        0          22         4          16         2.2%
16              14              individual      326                       23.2857                        23         0          8          4          2.3%
14              10              individual      309                       30.9000                        12         12         1          8          2.4%
20              12              individual      318                       26.5000                        24         0          5          10         2.4%
16              12              team            305                       25.4167                        22         3          7          4          2.5%
20              14              team            305                       21.7857                        8          18         6          3          2.6%
19              14              team            309                       22.0714                        6          21         2          9          2.7%
15              14              team            320                       22.8571                        9          19         6          8          2.8%
20              18              individual      328                       18.2222                        0          29         4          14         2.9%
18              18              team            319                       17.7222                        4          25         4          7          2.9%
18              12              team            319                       26.5833                        10         21         3          5          3.1%
19              14              individual      327                       23.3571                        7          24         8          6          3.1%
18              16              individual      318                       19.8750                        0          31         6          10         3.1%
13              10              team            312                       31.2000                        29         3          4          3          3.2%
19              12              individual      304                       25.3333                        13         19         11         3          3.2%
18              14              team            312                       22.2857                        19         13         2          7          3.2%
15              10              individual      314                       31.4000                        31         2          8          2          3.3%
12              12              individual      314                       26.1667                        0          33         2          11         3.3%
18              8               individual      316                       39.5000                        9          25         6          4          3.4%
17              8               individual      309                       38.6250                        6          28         7          1          3.4%
18              16              team            318                       19.8750                        28         6          11         2          3.4%
20              16              team            304                       19.0000                        30         4          5          3          3.4%
20              10              individual      309                       30.9000                        1          35         2          8          3.6%
20              12              team            294                       24.5000                        35         1          5          3          3.6%
15              14              individual      309                       22.0714                        36         0          4          10         3.6%
12              8               individual      309                       38.6250                        30         7          1          8          3.7%
14              10              team            313                       31.3000                        20         17         2          4          3.7%
17              12              individual      310                       25.8333                        15         23         6          5          3.8%
14              14              individual      309                       22.0714                        25         13         6          9          3.8%
12              10              team            308                       30.8000                        0          40         2          2          4.0%
17              12              team            314                       26.1667                        31         10         7          2          4.1%
17              10              individual      286                       28.6000                        35         7          4          9          4.2%
